tripID,vehicle_id,blockID,direction,garage,routeNumber
7126432,115,9040,0,ELMO,90
7126432,201,9040,0,ELMO,90
7126433,325,9047,0,ELMO,90
7126433,222,9047,0,ELMO,90
7126434,327,9041,0,ELMO,90
7126434,207,9041,0,ELMO,90
7126435,302,9042,0,ELMO,90
7126435,307,9042,0,ELMO,90
7126436,218,9051,0,ELMO,90
7126437,213,9052,0,ELMO,90
7126437,228,9052,0,ELMO,90
7126438,109,9010,0,RUBY,90
7126438,227,9010,0,RUBY,90
7126591,240,9049,0,ELMO,90
7126591,312,9049,0,ELMO,90
7126635,235,9050,1,ELMO,90
7126635,249,9050,1,ELMO,90
7126636,209,9043,1,ELMO,90
7126636,242,9043,1,ELMO,90
7126637,201,9040,1,ELMO,90
7126637,115,9040,1,ELMO,90
7126638,222,9047,1,ELMO,90
7126638,325,9047,1,ELMO,90
7126796,240,9049,1,ELMO,90
7126796,312,9049,1,ELMO,90
7127248,533,9029,0,ELMO,100
7127248,418,9029,0,ELMO,100
7127249,252,9032,0,ELMO,100
7127249,225,9032,0,ELMO,100
7127250,107,9006,0,RUBY,100
7127250,223,9006,0,RUBY,100
7127251,218,9051,0,ELMO,100
7127252,411,9033,0,ELMO,100
7127252,420,9033,0,ELMO,100
7127253,531,9007,0,RUBY,100
7127253,534,9007,0,RUBY,100
7127254,228,9052,0,ELMO,100
7127254,213,9052,0,ELMO,100
7127255,536,9034,0,ELMO,100
7127255,528,9034,0,ELMO,100
7127256,106,9018,0,ELMO,100
7127256,306,9018,0,ELMO,100
7127257,220,9035,0,ELMO,100
7127257,103,9035,0,ELMO,100
7127258,215,9009,0,RUBY,100
7127258,202,9009,0,RUBY,100
7127259,109,9010,0,RUBY,100
7127259,227,9010,0,RUBY,100
7127260,309,9019,0,ELMO,100
7127260,243,9019,0,ELMO,100
7127261,116,9013,0,RUBY,100
7127261,217,9013,0,RUBY,100
7127262,529,9021,0,ELMO,100
7127262,524,9021,0,ELMO,100
7127263,304,9022,0,ELMO,100
7127263,250,9022,0,ELMO,100
7127540,230,9031,0,ELMO,100
7127540,315,9031,0,ELMO,100
7127541,113,9004,0,RUBY,100
7127541,310,9004,0,RUBY,100
7127542,114,9025,0,ELMO,100
7127542,229,9025,0,ELMO,100
7127632,109,9010,1,RUBY,100
7127632,227,9010,1,RUBY,100
7127633,217,9013,1,RUBY,100
7127633,116,9013,1,RUBY,100
7127634,529,9021,1,ELMO,100
7127634,524,9021,1,ELMO,100
7127635,250,9022,1,ELMO,100
7127635,304,9022,1,ELMO,100
7127636,401,9048,1,ELMO,100
7127636,421,9048,1,ELMO,100
7127637,416,9012,1,RUBY,100
7127637,526,9012,1,RUBY,100
7127638,308,9044,1,ELMO,100
7127638,317,9044,1,ELMO,100
7127639,105,9024,1,ELMO,100
7127639,216,9024,1,ELMO,100
7127640,245,9045,1,ELMO,100
7127640,117,9045,1,ELMO,100
7127641,404,9015,1,RUBY,100
7127641,417,9015,1,RUBY,100
7127642,320,9001,1,RUBY,100
7127642,247,9001,1,RUBY,100
7127643,239,9026,1,ELMO,100
7127643,226,9026,1,ELMO,100
7127644,251,9016,1,RUBY,100
7127644,238,9016,1,RUBY,100
7127645,422,9028,1,ELMO,100
7127645,402,9028,1,ELMO,100
7127646,418,9029,1,ELMO,100
7127646,533,9029,1,ELMO,100
7127647,225,9032,1,ELMO,100
7127647,252,9032,1,ELMO,100
7127905,221,9014,1,RUBY,100
7127905,313,9014,1,RUBY,100
7127906,315,9031,1,ELMO,100
7127906,230,9031,1,ELMO,100
7127907,113,9004,1,RUBY,100
7127907,310,9004,1,RUBY,100
7128195,521,9062,0,RUBY,190
7128195,525,9062,0,RUBY,190
7128196,414,9064,0,RUBY,190
7128196,413,9064,0,RUBY,190
7128197,410,9068,0,RUBY,190
7128197,535,9068,0,RUBY,190
7128198,219,9066,0,RUBY,190
7128198,110,9066,0,RUBY,190
7128199,303,9061,0,RUBY,190
7128199,122,9061,0,RUBY,190
7128200,537,9070,0,RUBY,190
7128200,527,9070,0,RUBY,190
7128201,523,9069,0,RUBY,190
7128201,532,9069,0,RUBY,190
7128202,248,9072,0,RUBY,190
7128202,123,9072,0,RUBY,190
7128402,314,9067,1,RUBY,190
7128402,121,9067,1,RUBY,190
7128403,212,9063,1,RUBY,190
7128403,324,9063,1,RUBY,190
7128404,205,9060,1,RUBY,190
7128404,319,9060,1,RUBY,190
7128405,525,9062,1,RUBY,190
7128405,521,9062,1,RUBY,190
7128406,413,9064,1,RUBY,190
7128406,414,9064,1,RUBY,190
7128407,110,9066,1,RUBY,190
7128407,219,9066,1,RUBY,190
7128408,303,9061,1,RUBY,190
7128408,122,9061,1,RUBY,190
7129333,203,9084,0,RUBY,200
7129333,120,9084,0,RUBY,200
7129334,415,9086,0,RUBY,200
7129334,406,9086,0,RUBY,200
7129335,233,9081,0,RUBY,200
7129336,231,9088,0,RUBY,200
7129336,241,9088,0,RUBY,200
7129337,407,9080,0,RUBY,200
7129337,406,9080,0,RUBY,200
7129337,408,9080,0,RUBY,200
7129338,318,9085,0,RUBY,200
7129338,323,9085,0,RUBY,200
7129339,322,9082,0,RUBY,200
7129339,124,9082,0,RUBY,200
7129340,104,9087,0,RUBY,200
7129340,321,9087,0,RUBY,200
7129550,408,9080,1,RUBY,200
7129550,407,9080,1,RUBY,200
7129551,318,9085,1,RUBY,200
7129551,323,9085,1,RUBY,200
7129552,322,9082,1,RUBY,200
7129552,124,9082,1,RUBY,200
7129553,104,9087,1,RUBY,200
7129553,321,9087,1,RUBY,200
7129554,211,9083,1,RUBY,200
7129554,111,9083,1,RUBY,200
7129555,120,9084,1,RUBY,200
7129555,203,9084,1,RUBY,200
7129556,406,9086,1,RUBY,200
7129556,415,9086,1,RUBY,200
7129557,233,9081,1,RUBY,200
7130095,303,9061,0,RUBY,290
7130095,122,9061,0,RUBY,290
7130096,527,9070,0,RUBY,290
7130096,537,9070,0,RUBY,290
7130097,523,9069,0,RUBY,290
7130097,532,9069,0,RUBY,290
7130098,123,9072,0,RUBY,290
7130098,248,9072,0,RUBY,290
7130099,301,9065,0,RUBY,290
7130099,246,9065,0,RUBY,290
7130100,314,9067,0,RUBY,290
7130100,121,9067,0,RUBY,290
7130101,410,9068,0,RUBY,290
7130101,535,9068,0,RUBY,290
7130304,523,9069,1,RUBY,290
7130304,532,9069,1,RUBY,290
7130305,123,9072,1,RUBY,290
7130305,248,9072,1,RUBY,290
7130306,301,9065,1,RUBY,290
7130306,246,9065,1,RUBY,290
7130307,314,9067,1,RUBY,290
7130307,121,9067,1,RUBY,290
7130308,410,9068,1,RUBY,290
7130308,535,9068,1,RUBY,290
7130309,324,9063,1,RUBY,290
7130309,212,9063,1,RUBY,290
7130310,205,9060,1,RUBY,290
7130310,319,9060,1,RUBY,290
7130311,525,9062,1,RUBY,290
7130311,521,9062,1,RUBY,290
